ProbeSetID,gene_short_name,Control_rep1,Control_rep2,Control_rep3,RBP2_rep1,RBP2_rep2,RBP2_rep3
XLOC_015287,EAF2,1.07688,0.74503,0.364733,8.16947,6.74956,2.40726
XLOC_015288,SLC15A2,0.672218,0.765454,1.11811,0.606245,0.671569,0.383849
XLOC_015289,CD86,0,0,0.0345512,0,0,0
XLOC_015290,CASR,0,0,0,0,0,0.0141809
XLOC_015291,CSTA,0.215518,0.215224,0.118581,0.366218,0.0894815,0
XLOC_015292,FAM162A,68.7566,74.3796,91.2858,107.298,109.009,70.2478
XLOC_015293,DTX3L,12.9671,14.1992,15.6774,41.6062,39.8172,57.1691
XLOC_015294,PARP15,0,0,0,0,0,0
XLOC_015295,PARP14,12.3138,10.656,9.01053,86.616,87.2792,97.7538
XLOC_015296,DIRC2,6.53654,6.41149,6.49967,5.88376,5.37827,5.55595
XLOC_015297,LOC100129550,0.350562,0.157352,0.0932231,0.329491,0.322773,0.199495
XLOC_015298,PDIA5,22.2064,23.1222,23.9172,23.7939,24.8304,24.8699
XLOC_015299,SEC22A,8.55932,8.48253,11.4322,8.3275,8.49496,6.83233
XLOC_015300,MYLK-AS1,6.88256,7.95553,7.43975,2.8715,4.30863,2.45341
XLOC_015301,KALRN,1.38614,1.52674,1.40238,1.17057,0.792895,0.852972
XLOC_015302,MIR5002,0,0,0,0,0,0
XLOC_015303,UMPS,16.3423,15.3677,15.1086,12.5524,12.4867,12.6316
XLOC_015304,FAM86JP,2.97062,2.558,2.87655,1.54001,1.60594,1.61608
XLOC_015305,ROPN1B,0.254613,0.169618,0.18684,0.0721519,0.141114,0.0822073
XLOC_015306,ALDH1L1-AS1,0,0,0,0,0,0
XLOC_015307,ALDH1L1-AS2,0,0,0,0,0,0
XLOC_015308,CCDC37,0,0,0,0,0,0
XLOC_015309,CHST13,0,0.0432637,0.0476249,0.0368048,0,0
XLOC_015310,NUP210P1,0,0,0,0,0,0
XLOC_015311,CHCHD6,29.5728,29.884,35.2879,19.4377,19.009,20.4617
XLOC_015312,PLXNA1,11.9175,12.1449,11.0975,9.6085,10.0957,12.6741
XLOC_015313,MCM2,95.0144,116.937,148.445,50.8447,49.1937,59.4582
XLOC_015314,PODXL2,48.237,58.7649,63.513,43.3025,42.1692,30.1586
XLOC_015315,ABTB1,3.21511,4.40754,4.55438,3.25701,3.50171,1.79495
XLOC_015316,KBTBD12,0,0,0,0.0115846,0,0
XLOC_015317,SEC61A1,168.646,200.094,234.285,197.736,201.287,175.149
XLOC_015318,EEFSEC,14.1284,21.0198,24.9352,11.0129,11.1232,7.5302
XLOC_015319,DNAJB8-AS1,0,0,0,0,0,0
XLOC_015320,LOC90246,0,0,0,0,0.044915,0
XLOC_015321,RAB7A,144.301,141.223,133.598,167.354,166.559,157.456
XLOC_015322,ACAD9,36.9857,45.6106,56.9643,29.2751,32.4836,34.6493
XLOC_015323,EFCC1,0.110361,0.220913,0.303902,0.164437,0.207031,0.133855
XLOC_015324,GP9,0,0,0,0,0,0
XLOC_015325,COPG1,77.7068,89.2325,107.688,94.6365,95.4346,89.0175
XLOC_015326,C3orf37,89.394,100.344,119.947,70.8055,65.3304,67.4706
XLOC_015327,H1FX-AS1,0.241041,0.379035,0.341333,0.498324,0.2009,0.167026
XLOC_015328,IFT122,12.1474,16.9149,24.426,9.45261,9.68817,9.54329
XLOC_015329,RHO,0.0267675,0,0,0,0,0.0259735
XLOC_015330,H1FOO,0,0,0,0,0,0
XLOC_015331,LOC100507032,0.313123,0.438834,0.275942,0.497746,0.452673,0.425445
XLOC_015332,TRH,0,0,0,0,0,0
XLOC_015333,ALG1L2,0.088229,0.176313,0.0971124,0.15,0,0.170902
XLOC_015334,COL6A4P2,0,0,0,0,0,0
XLOC_015335,COL6A5,0,0,0,0,0,0
XLOC_015336,COL6A6,0,0,0,0.00710808,0.00696378,0
XLOC_015337,ATP2C1,26.6217,23.1125,18.7377,35.6103,32.8916,36.0959
XLOC_015338,NEK11,4.10471,2.58682,2.48567,4.12079,3.34496,2.28285
XLOC_015339,NUDT16P1,0,0,0,0,0,0
XLOC_015340,NUDT16,12.0937,10.2728,12.8235,11.2242,12.4308,11.786
